#separator:Comma
#html:true
"¿Qué aspecto del movimiento de los fluidos estudia la cinemática de fluidos?","La descripción del movimiento sin considerar las fuerzas o momentos que lo producen."
"¿Qué representa el término de superficie \(\int_{CS} \rho b \vec{V}_r \cdot \vec{n} \, dA\) en el RTT?","El flujo neto de la propiedad \(B\) a través de las superficies de control."
"¿Por qué se utiliza la velocidad relativa \(\vec{V}_r\) en el Teorema de Transporte de Reynolds?","Para permitir el análisis de volúmenes de control que se encuentran en movimiento o deformación."
"¿Cómo se simplifica el Teorema de Transporte de Reynolds para flujos estacionarios?","Se elimina el término de cambio temporal (término de volumen), igualando el cambio del sistema al flujo neto superficial."
"¿Qué técnica experimental permite localizar con precisión los vórtices de punta de ala en aeronaves?","La Velocimetría de Imágenes de Partículas (PIV)."
"¿Qué fenómeno destructivo en boquillas industriales puede prevenirse mediante el cálculo de la aceleración convectiva?","La cavitación."
"¿Qué descripción del movimiento define la aceleración como una variable de campo en función de la posición?","La descripción Euleriana."
"¿Qué elementos del tensor de tasa de deformación corresponden a la tasa de deformación lineal?","Los componentes de la diagonal principal (\(\varepsilon_{xx}, \varepsilon_{yy}, \varepsilon_{zz}\))."
"¿Bajo qué condiciones un flujo se considera irrotacional según la teoría de flujo potencial?","Cuando las regiones de flujo están libres de efectos viscosos y su vorticidad es nula."
"En el contexto de visualización, ¿qué diferencia a una senda de una línea de corriente en un flujo no estacionario?","La senda muestra la historia temporal de una partícula, mientras que la línea de corriente es una 'foto' instantánea del campo de velocidades."
"¿Qué componente del vector aceleración es responsable del cambio de velocidad en un punto fijo del espacio?","La aceleración local (\(\frac{\partial \vec{V}}{\partial t}\))."
"¿Qué relación existe entre el concepto de 'sistema' y la descripción Lagrangiana?","Ambos se centran en una masa de identidad fija que se mueve a través del espacio."
"¿Qué información proporciona la deformación de una línea de tiempo (Timeline)?","Revela el perfil de velocidad del flujo en esa región."
